,yearID,teamID,G,W,WSWin,R,H,SB,ER,E
1177,1949,PHA,154,81,N,726,1331,36.0,642,140
1178,1949,PHI,154,81,N,662,1349,27.0,601,158
1179,1949,PIT,154,71,N,681,1350,48.0,689,132
1180,1949,SLA,155,53,N,667,1301,38.0,776,165
1181,1949,SLN,157,96,N,766,1513,17.0,538,142
1182,1949,WS1,154,50,N,584,1330,46.0,762,161
1183,1950,BOS,154,94,N,1027,1665,32.0,739,111
1184,1950,BRO,155,89,N,847,1461,77.0,661,127
1185,1950,BSN,156,83,N,785,1411,71.0,637,182
1186,1950,CHA,156,60,N,625,1368,19.0,669,135
1187,1950,CHN,154,64,N,643,1298,46.0,652,198
1188,1950,CIN,153,66,N,654,1366,37.0,651,140
1189,1950,CLE,155,92,N,806,1417,40.0,574,129
1190,1950,DET,157,95,N,837,1518,23.0,644,120
1191,1950,NY1,154,86,N,735,1352,42.0,567,137
1192,1950,NYA,155,98,Y,914,1511,41.0,633,119
1193,1950,PHA,154,52,N,670,1361,42.0,821,155
1194,1950,PHI,157,91,N,722,1440,33.0,547,151
1195,1950,PIT,154,57,N,681,1404,43.0,754,136
1196,1950,SLA,154,58,N,684,1269,39.0,789,196
1197,1950,SLN,153,78,N,693,1353,23.0,598,130
1198,1950,WS1,155,67,N,690,1365,42.0,706,167
1199,1951,BOS,154,87,N,804,1428,20.0,644,138
1200,1951,BRO,158,97,N,855,1511,89.0,613,128
1201,1951,BSN,155,76,N,723,1385,80.0,579,145
1202,1951,CHA,155,81,N,714,1453,99.0,551,151
1203,1951,CHN,155,62,N,614,1327,63.0,668,181
1204,1951,CIN,155,68,N,559,1309,44.0,571,140
